"formula","site","depth","Suction_kPa"
"C13H18O4S1","PT","120-150",50
"C13H18O4S1","PT","0-30",50
"C13H18O4S1","DMT","0-30",1.5
"C13H18O4S1","GS","60-90",3
"C13H18O4S1","PT","180-210",3
"C13H18O4S1","GS","30-60",1.5
"C13H18O4S1","DMT","30-60",50
"C13H18O4S1","DMT","30-60",1.5
"C13H18O4S1","PT","0-30",15
"C13H18O4S1","DMT","0-30",15
"C13H18O4S1","PT","180-210",50
"C13H18O4S1","DMT","0-30",3
"C13H18O6","DMT","30-60",50
"C14H22O3S1","GS","30-60",3
"C14H22O3S1","DMT","30-60",3
"C14H22O3S1","PT","120-150",15
"C14H22O3S1","PT","60-90",15
"C14H22O3S1","PT","90-120",15
"C14H22O3S1","PT","150-180",50
"C14H22O3S1","DMT","0-30",15
"C14H22O3S1","DMT","0-30",3
"C14H22O3S1","DMT","30-60",15
"C18H22S1","PT","0-30",50
"C18H22S1","PT","60-90",15
"C18H22S1","PT","120-150",3
"C18H22S1","DMT","30-60",50
"C14H22O5","PT","180-210",1.5
"C14H22O5","PT","90-120",15
"C14H22O5","DMT","30-60",3
"C14H22O5","PT","120-150",50
"C14H22O5","PT","0-30",50
"C14H22O5","PT","60-90",50
"C14H22O5","GS","60-90",3
"C14H22O5","PT","60-90",15
"C14H22O5","DMT","30-60",50
"C15H26O4","DMT","30-60",50
"C16H30O3","PT","60-90",15
"C17H34O2","GS","30-60",3
"C17H34O2","PT","150-180",1.5
"C17H34O2","GS","0-30",1.5
"C17H34O2","PT","120-150",1.5
"C17H34O2","PT","180-210",1.5
"C17H34O2","PT","90-120",15
"C17H34O2","PT","60-90",1.5
"C17H34O2","PT","0-30",1.5
