"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C10H12O5S1",1,"18D","PT","210-240",50,3
"C10H12O5S1",1,"47A","GS","60-90",1.5,4
"C10H12O5S1",1,"16C","PT","150-180",15,3
"C10H12O5S1",1,"21A","PT","60-90",1.5,4
"C10H12O5S1",1,"13C","PT","60-90",15,2
"C10H12O5S1",1,"11C","PT","0-30",15,3
"C10H12O5S1",1,"27A","PT","30-60",1.5,4
"C10H12O5S1",1,"33B2","PT","210-240",3,2
"C6H15O5N1S1P1",1,"49D","GS","30-60",50,1
"C11H7O4N3",1,"25B","PT","180-210",3,2
"C11H7O4N3",1,"2D","DMT","30-60",50,3
"C11H7O4N3",1,"8D","DMT","30-60",50,3
"C11H7O4N3",1,"34C","PT","0-30",15,2
"C11H7O4N3",1,"52C","GS","30-60",15,2
"C11H7O4N3",1,"49D","GS","30-60",50,1
"C11H7O4N3",1,"32D","PT","180-210",50,2
"C11H7O4N3",1,"1B","DMT","0-30",3,1
"C11H7O4N3",1,"32B","PT","180-210",3,2
"C11H7O4N3",1,"25D","PT","180-210",50,2
"C11H7O4N3",1,"26C","PT","0-30",15,2
"C11H7O4N3",1,"53C","GS","30-60",15,2
"C11H7O4N3",1,"10D","DMT","30-60",50,3
"C7H10O4N4P1",1,"26D","PT","0-30",50,3
"C7H10O4N4P1",1,"25B","PT","180-210",3,2
"C7H10O4N4P1",1,"19D","PT","0-30",50,3
"C7H10O4N4P1",1,"8A","DMT","30-60",1.5,2
"C7H10O4N4P1",1,"34C","PT","0-30",15,3
"C7H10O4N4P1",1,"34D","PT","0-30",50,3
"C7H10O4N4P1",1,"1C","DMT","0-30",15,1
"C7H10O4N4P1",1,"49D","GS","30-60",50,1
"C7H10O4N4P1",1,"32D","PT","180-210",50,2
"C7H10O4N4P1",1,"1B","DMT","0-30",3,1
"C7H10O4N4P1",1,"32B","PT","180-210",3,2
"C7H10O4N4P1",1,"25D","PT","180-210",50,2
"C7H10O4N4P1",1,"26C","PT","0-30",15,3
"C7H10O4N4P1",1,"5A","DMT","30-60",1.5,2
"C7H10O4N4P1",1,"11C","PT","0-30",15,3
"C9H7N7S1",1,"50B","GS","60-90",3,2
"C9H7N7S1",1,"47B","GS","60-90",3,2
"C13H12O1P2",1,"25B","PT","180-210",3,2
"C13H12O1P2",1,"19D","PT","0-30",50,2
"C13H12O1P2",1,"34C","PT","0-30",15,2
"C13H12O1P2",1,"34D","PT","0-30",50,2
"C13H12O1P2",1,"49D","GS","30-60",50,1
"C13H12O1P2",1,"32D","PT","180-210",50,2
"C13H12O1P2",1,"32B","PT","180-210",3,2
"C13H12O1P2",1,"25D","PT","180-210",50,2
"C13H12O1P2",1,"26C","PT","0-30",15,2
"C11H8O3N2S1",1,"1B","DMT","0-30",3,1
"C10H21N1S1P2",1,"25B","PT","180-210",3,2
"C10H21N1S1P2",1,"8D","DMT","30-60",50,2
"C10H21N1S1P2",1,"1C","DMT","0-30",15,1
"C10H21N1S1P2",1,"49D","GS","30-60",50,1
"C10H21N1S1P2",1,"32B","PT","180-210",3,2
"C10H21N1S1P2",1,"10D","DMT","30-60",50,2
"C9H5O4N3P1",1,"28C","PT","60-90",15,2
"C9H5O4N3P1",1,"21C","PT","60-90",15,2
"C10H18O5S1",1,"2B","DMT","30-60",3,1
"C14H18O4",1,"2D","DMT","30-60",50,2
"C14H18O4",1,"8D","DMT","30-60",50,2
"C15H22O3",1,"17A","PT","180-210",1.5,2
"C15H22O3",1,"13B","PT","60-90",3,3
"C15H22O3",1,"13A","PT","60-90",1.5,3
"C15H22O3",1,"31C","PT","150-180",15,3
"C15H22O3",1,"25A","PT","180-210",1.5,2
"C15H22O3",1,"2B","DMT","30-60",3,1
"C15H22O3",1,"28A","PT","60-90",1.5,3
"C15H22O3",1,"12B","PT","30-60",3,3
"C15H22O3",1,"30D","PT","120-150",50,3
"C15H22O3",1,"26D","PT","0-30",50,2
"C15H22O3",1,"7A","DMT","0-30",1.5,2
"C15H22O3",1,"50B","GS","60-90",3,2
"C15H22O3",1,"33A","PT","210-240",1.5,1
"C15H22O3",1,"28C","PT","60-90",15,2
